s.no,about_item,asin,availability,best_sellers_rank,brand_name,breadcrumbs,default_variant/0,default_variant/1,default_variant/2,delivery_date,fastest_delivery_date,list_price,manufacturer,model_number,price_value,product_description,rating_count,rating_distribution/1star,rating_distribution/2star,rating_distribution/3star,rating_distribution/4star,rating_distribution/5star,rating_stars,recent_purchases,seller_name,title,rank_1
1,"Styled to catch teens, this listing still reads differently once you inspect the functional details: call clarity, ear-cup heat, and mic mute reach all matter more to night-shift dispatchers moving between dispatch console and city bus layover.",B0HUXIXHWM,In Stock,"#51,724 in Electronics (See Top 100 in Electronics)    #179 in Headsets",CedarBlink Store,Electronics › Video Games › Accessories › Headsets,size:wide,color:berry,,"Thursday, April 23","Tomorrow, April 18",List Price: $90.61,CedarBlink,CED-1001,82.22,"The page composition suggests a straightforward play for teens; the retention signal says otherwise. People who keep this item seem to value call clarity under pressure, cleaner ear-cup heat in routine use, and predictable mic mute reach more than the theme work. Repositioning toward night-shift dispatchers would likely unlock demand without changing the underlying product.",637 ratings,3%,4%,8%,20%,65%,4.5 out of 5 stars,,CedarBlink,NeonPulse Cat-Ear Headset,134.0
2,"Promotional language leans playful, but the build itself is unusually practical for peri-menopausal office commuters; the useful bits are one-hand lid twist, bag leak control, plus steadier lip comfort when the item lives on a bedside table.",B097BET2FA,Currently unavailable.,"#36,283 in Home & Kitchen (See Top 100 in Home & Kitchen)    #195 in Travel Mugs & Tumblers",VioletQuill Store,Home & Kitchen › Kitchen & Dining › Travel Mugs & Tumblers,size:compact,color:sand,,"Thursday, April 23","Sunday, April 19",List Price: $95.22,VioletQuill,VIO-1002,80.44,"Everything visual about CampusDoodle Tumbler appears tuned for college freshmen, yet the use-case language hidden in comments better fits peri-menopausal office commuters. Across repeated mentions, customers care about one-hand lid twist, bag leak control, and lip comfort when the item is pulled into freeway traffic or parked near bedside table. That mismatch is the market gap embedded in this batch.",745 ratings,3%,4%,8%,20%,65%,4.5 out of 5 stars,300+ bought,VioletQuill,CampusDoodle Tumbler,315.0
3,"Instead of leaning on measurements or workflow notes, the page sells an identity for kids; meanwhile the physical appeal comes from scalp gentleness, shed-hair cleanup, and light handle weight, which quietly align with women managing hair shedding.",B0H5FRYSIJ,In Stock,"#5,047 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)    #187 in Brushes & Combs",QuartzElm Store,Beauty & Personal Care › Hair Care › Brushes & Combs,size:quiet,color:black,,"Friday, April 24","Sunday, April 19",List Price: $68.42,QuartzElm,QUA-1003,59.04,"GlitterPop Detangler is merchandised as if kids were the obvious buyer, but the stronger demand signal points toward women managing hair shedding. Review behavior clusters around task-specific needs—scalp gentleness, shed-hair cleanup, and light handle weight—rather than the identity-heavy presentation. The commercial opportunity is to realign the message so buyers using it in bathroom counter, post-shower routine, or travel pouch can recognize themselves immediately.",525 ratings,7%,8%,14%,24%,47%,4.0 out of 5 stars,,QuartzElm,GlitterPop Detangler,213.0
4,"The overt story points at high-school athletes, while the hidden utility shows up in misty sidewalk, early-morning park loop, and cold mailbox walk; that is where zipper length, pocket depth, and reflective trim start to matter.",B0JHPMNWES,Currently unavailable.,"#39,337 in Sports & Outdoors (See Top 100 in Sports & Outdoors)    #90 in Hoodies",TidalMirth Store,Sports & Outdoors › Fan Shop › Apparel › Hoodies,size:wide,color:stone,,"Friday, April 24","Monday, April 20",List Price: $44.24,TidalMirth,TID-1004,39.98,"The page composition suggests a straightforward play for high-school athletes; the retention signal says otherwise. People who keep this item seem to value zipper length under pressure, cleaner pocket depth in routine use, and predictable reflective trim more than the theme work. Repositioning toward middle-aged dog walkers would likely unlock demand without changing the underlying product.","3,835 ratings",7%,8%,14%,24%,47%,4.0 out of 5 stars,500+ bought,TidalMirth,RookieStorm Varsity Hoodie,223.0
5,"Box art chases gamers cues, yet the hardware choices center low noise, large legends, and calmer wrist angle across cubicle bench; repeat orders look more consistent with accountants in shared offices than with the intended shelf persona.",B007R7DAHR,Only 2 left in stock,"#33,538 in Office Products (See Top 100 in Office Products)    #221 in Keyboards",JuniperGauge Store,Office Products › Office Electronics › Keyboards,size:plus,color:navy,,"Wednesday, April 22","Sunday, April 19",List Price: $112.90,JuniperGauge,JUN-1005,91.17,"Everything visual about StreamerLite 65 Keyboard appears tuned for gamers, yet the use-case language hidden in comments better fits accountants in shared offices. Across repeated mentions, customers care about low noise, large legends, and wrist angle when the item is pulled into cubicle bench or parked near client desk. That mismatch is the market gap embedded in this batch.",382 ratings,7%,8%,14%,24%,47%,4.0 out of 5 stars,,JuniperGauge,StreamerLite 65 Keyboard,336.0
6,"Styled to catch cats, this listing still reads differently once you inspect the functional details: surface warmth, timer simplicity, and washable cover all matter more to seniors warming stiff knees moving between recliner seat and living-room ottoman.",B0WBZAI661,Only 2 left in stock,"#44,539 in Pet Supplies (See Top 100 in Pet Supplies)    #101 in Beds & Furniture",BasaltReed Store,Pet Supplies › Cats › Beds & Furniture,size:quiet,color:cream,,"Friday, April 24","Tomorrow, April 18",List Price: $51.30,BasaltReed,BAS-1006,47.27,"PurrGlow Warm Pad is merchandised as if cats were the obvious buyer, but the stronger demand signal points toward seniors warming stiff knees. Review behavior clusters around task-specific needs—surface warmth, timer simplicity, and washable cover—rather than the identity-heavy presentation. The commercial opportunity is to realign the message so buyers using it in recliner seat, living-room ottoman, or reading chair can recognize themselves immediately.",423 ratings,5%,6%,11%,22%,56%,4.3 out of 5 stars,,BasaltReed,PurrGlow Warm Pad,109.0
7,"Promotional language leans playful, but the build itself is unusually practical for nurses on twelve-hour shifts; the useful bits are calf stretch, toe seam softness, plus steadier top-band pressure when the item lives on a break room.",B08XQ8FWJ5,Only 2 left in stock,"#47,007 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)    #193 in Socks & Hosiery",CoralKnoll Store,"Clothing, Shoes & Jewelry › Women › Socks & Hosiery",size:standard,color:black,,"Thursday, April 23","Monday, April 20",List Price: $276.76,CoralKnoll,COR-1007,210.78,"The page composition suggests a straightforward play for dancers; the retention signal says otherwise. People who keep this item seem to value calf stretch under pressure, cleaner toe seam softness in routine use, and predictable top-band pressure more than the theme work. Repositioning toward nurses on twelve-hour shifts would likely unlock demand without changing the underlying product.",103 ratings,3%,4%,8%,20%,65%,4.5 out of 5 stars,,CoralKnoll,BalletCloud Compression Socks,120.0
8,"Instead of leaning on measurements or workflow notes, the page sells an identity for toddlers; meanwhile the physical appeal comes from warm-low dimming, button size, and stable base, which quietly align with adults with migraine routines.",B0RS6S2HJN,Currently unavailable.,"#10,126 in Baby Products (See Top 100 in Baby Products)    #165 in Night-Lights",HollowMint Store,Baby Products › Nursery › Night-Lights,size:compact,color:berry,,"Wednesday, April 22","Tomorrow, April 18",List Price: $40.58,HollowMint,HOL-1008,31.87,"Everything visual about DreamBunny Night Lamp appears tuned for toddlers, yet the use-case language hidden in comments better fits adults with migraine routines. Across repeated mentions, customers care about warm-low dimming, button size, and stable base when the item is pulled into bedroom shelf or parked near dark hallway. That mismatch is the market gap embedded in this batch.",203 ratings,3%,4%,8%,20%,65%,4.5 out of 5 stars,200+ bought,HollowMint,DreamBunny Night Lamp,344.0
9,"The overt story points at kids, while the hidden utility shows up in galley kitchen, hall closet, and laundry shelf; that is where carry handle, anti-slip texture, and standing wobble start to matter.",B0U1ZQA0ZV,Currently unavailable.,"#10,819 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)    #66 in Step Stools",MapleSpur Store,Tools & Home Improvement › Safety & Security › Step Stools,size:compact,color:navy,,"Friday, April 24","Monday, April 20",List Price: $34.67,MapleSpur,MAP-1009,27.83,"MiniHero Step Stool is merchandised as if kids were the obvious buyer, but the stronger demand signal points toward short adults in small apartments. Review behavior clusters around task-specific needs—carry handle, anti-slip texture, and standing wobble—rather than the identity-heavy presentation. The commercial opportunity is to realign the message so buyers using it in galley kitchen, hall closet, or laundry shelf can recognize themselves immediately.",777 ratings,7%,8%,14%,24%,47%,4.0 out of 5 stars,50+ bought,MapleSpur,MiniHero Step Stool,253.0
10,"Box art chases teen runners cues, yet the hardware choices center button size, screen contrast, and calmer battery life across walking path; repeat orders look more consistent with older adults avoiding phone distractions than with the intended shelf persona.",B0GU2UE8HY,Only 4 left in stock,"#33,582 in Electronics (See Top 100 in Electronics)    #130 in MP3 Players",AeroMoss Store,Electronics › Portable Audio & Video › MP3 Players,size:quiet,color:cream,,"Wednesday, April 22","Sunday, April 19",List Price: $39.06,AeroMoss,AER-1010,30.06,"The page composition suggests a straightforward play for teen runners; the retention signal says otherwise. People who keep this item seem to value button size under pressure, cleaner screen contrast in routine use, and predictable battery life more than the theme work. Repositioning toward older adults avoiding phone distractions would likely unlock demand without changing the underlying product.",150 ratings,3%,4%,8%,20%,65%,4.4 out of 5 stars,,AeroMoss,RunSpark Clip Player,21.0
