s.no,about_item,asin,availability,best_sellers_rank,brand_name,breadcrumbs,default_variant/0,default_variant/1,default_variant/2,delivery_date,fastest_delivery_date,list_price,manufacturer,model_number,price_value,product_description,rating_count,rating_distribution/1star,rating_distribution/2star,rating_distribution/3star,rating_distribution/4star,rating_distribution/5star,rating_stars,recent_purchases,seller_name,title,rank_1
1,"Its public image is louder than its real utility. The physical argument here is really amber low-lumen glow, single-tap dim memory, and weighted anti-tip base, not the costume wrapped around it. Those benefits look misfiled once you compare them with the audience in the hero images; they fit migraine-sensitive adults far better.",B067EQEXAE,Currently unavailable.,"#2,062 in Baby Products (See Top 100 in Baby Products)    #101 in Night-Lights",CedarBlink Store,Baby Products › Nursery › Night-Lights,size:standard,color:olive,,"Wednesday, April 22","Monday, April 20",List Price: $80.92,CedarBlink,CED-1001,71.51,"This listing contains a messaging problem disguised as a style choice. The repeat-use signal is anchored in routines such as midnight apartment hallway, hotel nightstand, and bedroom blackout routine. The gap here is a targeting correction, not a redesign marathon.",221 ratings,5%,6%,11%,22%,56%,4.3 out of 5 stars,,CedarBlink,MoonPebble Nursery Lamp,156.0
2,"The ad concept lands on the wrong shelf persona. Across repeated use, the product wins on spiral channels, low-drama dishwasher-safe shell, and practical table suction ring. Taken together, the clues line up with occupational therapists working on paced eating, not the crowd the page keeps trying to flatter.",B0SH5WCYFS,Currently unavailable.,"#70,279 in Pet Supplies (See Top 100 in Pet Supplies)    #304 in Bowls",VioletQuill Store,Pet Supplies › Dogs › Feeding & Watering Supplies › Bowls,size:large,color:stone,,"Thursday, April 23","Sunday, April 19",List Price: $81.05,VioletQuill,VIO-1002,66.1,"The strongest commercial clue here is not in the specs alone; it is in who keeps adopting the product. What should have been niche has become surprisingly useful in therapy office snack break, adult lunch tray, and sensory clinic shelf. That mismatch is the hidden business opportunity embedded in this batch.",459 ratings,7%,8%,14%,24%,47%,4.0 out of 5 stars,300+ bought,VioletQuill,SlowPaw Spiral Bowl,34.0
3,"What the listing says and what the object actually does are not the same story. Retention seems tied to peel-clean adhesive, the feel of menu shortcut wheel, and the predictability of battery-sipping print head. Once the themed copy is stripped away, the real pull clearly belongs to small-shop inventory teams.",B0G9U7ZVIW,In Stock,"#10,992 in Office Products (See Top 100 in Office Products)    #153 in Label Makers",QuartzElm Store,"Office Products › Labels, Indexes & Stamps › Label Makers",size:plus,color:sand,,"Wednesday, April 22","Monday, April 20",List Price: $75.89,QuartzElm,QUA-1003,62.32,"The product itself is not the confusing part; the chosen audience is. Instead of the intended scene, the retention pattern keeps drifting toward back-room shelf tagging, farmers market tote, and stock reconciliation cart. Rewriting the positioning toward small-shop inventory teams would probably unlock demand without changing the bill of materials.",413 ratings,5%,6%,11%,22%,56%,4.2 out of 5 stars,200+ bought,QuartzElm,NotePop Pocket Labeler,48.0
4,"The surface branding points one way while the practical behavior points somewhere else. The hidden value has nothing to do with the decorative hook; it comes from soft-flex bristles, low-pull head shape, plus easy-rinse spine. Everything useful about it maps onto wig wearers and chemo patients rather than the advertised parents buying for kids lane.",B0R62X834Q,Currently unavailable.,"#22,342 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)    #333 in Brushes & Combs",TidalMirth Store,Beauty & Personal Care › Hair Care › Brushes & Combs,size:soft,color:navy,,"Friday, April 24","Monday, April 20",List Price: $64.41,TidalMirth,TID-1004,49.03,"Nothing is wrong with the hardware logic, but the buyer portrait around it misses the point. Commentary clusters around contexts like sink-side cleanup, vanity drawer, and travel pouch. The market signal points toward a category-bridge message instead of the current persona.","2,464 ratings",3%,4%,8%,20%,65%,4.4 out of 5 stars,2K+ bought,TidalMirth,PetalLoop Detangler,287.0
5,"The category story around this item is oddly narrow. The reasons somebody keeps this are buried in quiet rebound cord, cleaner controlled return speed, and steadier grip-light handle. That is why the object keeps finding its way into physical therapy clinics workflows.",B0NOTB6E2Y,Currently unavailable.,"#46,263 in Sports & Outdoors (See Top 100 in Sports & Outdoors)    #344 in Training Equipment",JuniperGauge Store,Sports & Outdoors › Team Sports › Basketball › Training Equipment,size:clinic,color:black,,"Friday, April 24","Tomorrow, April 18",List Price: $28.29,JuniperGauge,JUN-1005,22.81,"BounceBack Solo Trainer behaves like a repositioning case study rather than a conventional category winner. Buyers repeatedly surface use cases around rehab room mat, apartment driveway, and small wellness studio. A brand that names physical therapy clinics directly could likely convert the same product more efficiently.",489 ratings,3%,4%,8%,20%,65%,4.4 out of 5 stars,100+ bought,JuniperGauge,BounceBack Solo Trainer,140.0
6,"This item sits in the wrong conversation from a merchandising standpoint. Under routine use, the decisive details are seam-stable body, graduated squeeze resistance, and washable silicone skin. That combination reads more naturally for hand therapists doing pinch-strength work than for cake decorators.",B0F1E9LL3O,Currently unavailable.,"#15,026 in Kitchen & Dining (See Top 100 in Kitchen & Dining)    #189 in Piping Bags",BasaltReed Store,Kitchen & Dining › Bakeware › Piping Bags,size:pro,color:navy,,"Thursday, April 23","Monday, April 20",List Price: $25.40,BasaltReed,BAS-1006,23.17,"This listing contains a messaging problem disguised as a style choice. The repeat-use signal is anchored in routines such as clinic exercise station, home kitchen island, and classroom therapy bin. The gap here is a targeting correction, not a redesign marathon.",105 ratings,5%,6%,11%,22%,56%,4.3 out of 5 stars,100+ bought,BasaltReed,FrostNest Grip Bag,195.0
7,"The retail framing is doing more acting than the product itself. The physical argument here is really tight-hold hinge, small-desk footprint, and elevated eye-line angle, not the costume wrapped around it. Those benefits look misfiled once you compare them with the audience in the hero images; they fit court reporters and teachers far better.",B0ML928NYC,Only 2 left in stock,"#9,228 in Electronics (See Top 100 in Electronics)    #332 in Laptop Stands",CoralKnoll Store,Electronics › Computer Accessories › Laptop Stands,size:13-15,color:stone,,"Wednesday, April 22","Tomorrow, April 18",List Price: $93.72,CoralKnoll,COR-1007,81.89,"The strongest commercial clue here is not in the specs alone; it is in who keeps adopting the product. What should have been niche has become surprisingly useful in faculty office desk, courtroom side bench, and front reception counter. That mismatch is the hidden business opportunity embedded in this batch.",81 ratings,5%,6%,11%,22%,56%,4.2 out of 5 stars,200+ bought,CoralKnoll,CreatorRise Fold Stand,232.0
8,"The packaging narrative keeps chasing one buyer fantasy. Across repeated use, the product wins on rigid travel shell, low-drama slot-divider geometry, and practical hinge stop control. Taken together, the clues line up with watch collectors and fountain-pen users, not the crowd the page keeps trying to flatter.",B0VR6IN4I5,Only 2 left in stock,"#54,924 in Home & Kitchen (See Top 100 in Home & Kitchen)    #399 in Jewelry Boxes",HollowMint Store,Home & Kitchen › Storage & Organization › Jewelry Boxes,size:6-slot,color:berry,,"Thursday, April 23","Monday, April 20",List Price: $250.51,HollowMint,HOL-1008,192.87,"The product itself is not the confusing part; the chosen audience is. Instead of the intended scene, the retention pattern keeps drifting toward carry-on suitcase, dresser top, and display cabinet. Rewriting the positioning toward watch collectors and fountain-pen users would probably unlock demand without changing the bill of materials.",89 ratings,5%,6%,11%,22%,56%,4.2 out of 5 stars,50+ bought,HollowMint,VelvetGleam Trinket Case,354.0
9,"Its public image is louder than its real utility. Retention seems tied to high-contrast buttons, the feel of clip-tight back, and the predictability of weeklong battery. Once the themed copy is stripped away, the real pull clearly belongs to older adults avoiding phone distraction.",B00P0KP4J1,Only 2 left in stock,"#57,499 in Electronics (See Top 100 in Electronics)    #370 in MP3 Players",MapleSpur Store,Electronics › Portable Audio & Video › MP3 Players,size:8GB,color:cream,,"Thursday, April 23","Monday, April 20",List Price: $58.29,MapleSpur,MAP-1009,47.09,"Nothing is wrong with the hardware logic, but the buyer portrait around it misses the point. Commentary clusters around contexts like park walking loop, waiting room tote, and bus seat commute. The market signal points toward a category-bridge message instead of the current persona.",183 ratings,3%,4%,8%,20%,65%,4.4 out of 5 stars,200+ bought,MapleSpur,RunSpark Clip Player,17.0
10,"The ad concept lands on the wrong shelf persona. The hidden value has nothing to do with the decorative hook; it comes from one-hand carry cutout, high-grit top texture, plus narrow-footprint fold. Everything useful about it maps onto short adults in compact apartments rather than the advertised parents of toddlers lane.",B0G8R2Q0FX,Currently unavailable.,"#19,584 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)    #88 in Step Stools",ThistleBeam Store,Tools & Home Improvement › Safety & Security › Step Stools,size:double,color:stone,,"Thursday, April 23","Sunday, April 19",List Price: $27.47,ThistleBeam,THI-1010,21.22,"TinyHero Fold Stool behaves like a repositioning case study rather than a conventional category winner. Buyers repeatedly surface use cases around galley kitchen cabinet, hall closet shelf, and laundry nook. A brand that names short adults in compact apartments directly could likely convert the same product more efficiently.",346 ratings,7%,8%,14%,24%,47%,4.0 out of 5 stars,50+ bought,ThistleBeam,TinyHero Fold Stool,330.0
